track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,4635,5,583687007,50,49,30,1,2,93,,Major,63,21,52,28,0,9,3,2021-11-12,2021-45
LA FAMA (with The Weeknd),"The Weeknd, ROSAL�",2,4640,3,374706940,81,93,507,6,4,136,,Minor,77,82,30,95,0,13,5,2021-11-11,2021-45
Bar,"Tini, L-Gante",2,755,4,200972675,22,3,0,0,0,94,C#,Major,52,68,69,13,0,33,8,2021-11-11,2021-45
Envolver,Anitta,1,4673,2,546191065,123,113,180,1,4,92,E,Minor,81,40,73,15,0,9,8,2021-11-11,2021-45
