track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
El Azul,"Junior H, Peso Pluma",2,692,25,354495408,10,107,6,3,62,144,A,Minor,56,84,65,23,0,10,6,2023-02-10,2023-06
Rara Vez,"Taiu, Milo j",2,893,38,248088961,19,23,24,3,88,120,F,Minor,84,96,71,18,0,34,17,2023-02-08,2023-06
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,1638,10,207033255,0,0,21,0,0,130,B,Minor,69,36,90,1,10,15,4,2023-02-05,2023-06
If We Ever Broke Up,Mae Stephens,1,2040,4,165584767,81,27,66,9,444,116,G,Major,90,96,73,62,0,9,4,2023-02-10,2023-06
