track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,5871,27,618885532,81,121,58,1,34,163,,Major,54,40,67,0,0,9,17,2022-06-17,2022-24
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,2341,0,279717388,37,2,38,2,0,110,C#,Major,91,59,82,8,0,6,8,2022-06-16,2022-24
Massive,Drake,1,5263,0,195628667,66,89,61,0,11,125,E,Minor,51,5,68,12,2,15,6,2022-06-17,2022-24
Sticky,Drake,1,2814,0,191448892,38,105,25,0,2,137,A#,Minor,88,8,49,9,0,9,14,2022-06-17,2022-24
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",3,2442,0,240918092,81,4,248,1,6,132,B,Major,82,49,88,20,0,21,3,2022-06-16,2022-24
B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",2,5153,6,244585109,102,53,113,12,0,137,,Major,74,71,89,24,61,15,5,2022-06-15,2022-24
