track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Glimpse of Us,Joji,1,6330,6,988515741,109,42,158,3,31,170,G#,Major,44,27,32,89,0,14,5,2022-06-10,2022-23
Yet To Come,BTS,1,829,0,302006641,32,110,26,0,0,172,C#,Major,56,68,89,4,0,33,19,2022-06-10,2022-23
Run BTS,BTS,1,736,0,330881149,5,132,17,0,3,77,G#,Major,72,70,82,2,0,4,17,2022-06-10,2022-23
For Youth,BTS,1,327,0,114546317,5,40,12,0,0,117,D,Major,63,29,51,43,0,25,4,2022-06-10,2022-23
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2313,0,136676504,34,0,29,0,0,120,G,Major,88,15,56,1,0,8,6,2022-06-10,2022-23
Born Singer,BTS,1,279,0,79095270,0,18,6,0,0,158,G#,Minor,60,68,84,4,0,24,11,2022-06-10,2022-23
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2,1401,0,248511839,26,16,17,0,1,128,C#,Minor,82,42,75,6,0,63,6,2022-06-08,2022-23
So Good,Halsey,1,1057,0,91781263,51,14,19,0,0,83,D#,Minor,63,29,62,4,0,18,4,2022-06-09,2022-23
Numb,"Marshmello, Khalid",2,3879,2,295307001,107,76,86,1,9,120,,Minor,91,63,77,12,1,10,5,2022-06-10,2022-23
Betty (Get Money),Yung Gravy,1,2402,0,221752937,45,2,26,0,1,102,C#,Major,73,62,75,0,0,34,8,2022-06-10,2022-23
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,685,2,129314708,17,0,24,0,30,130,D#,Minor,71,78,40,46,0,7,45,2022-06-10,2022-23
KU LO SA - A COLORS SHOW,Oxlade,1,2019,8,222410722,117,72,107,1,7,93,A#,Minor,65,79,66,31,0,22,7,2022-06-10,2022-23
