track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Rich Flex,"Drake, 21 Savage",2,4657,18,573633020,84,84,42,0,23,153,B,Minor,56,42,52,5,0,36,24,2022-11-04,2022-44
Punto G,Quevedo,1,1985,35,381161027,34,26,37,5,1,92,B,Minor,75,55,76,25,0,10,15,2022-11-04,2022-44
10:35,"Ti��sto, Tate M",2,4942,26,325592432,190,104,147,18,63,120,G#,Major,70,70,79,7,0,18,10,2022-11-01,2022-44
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,86,0,139836056,11,101,0,0,48,94,A,Major,59,44,56,80,0,6,3,2022-11-05,2022-44
SPIT IN MY FACE!,ThxSoMch,1,629,14,303216294,32,3,9,0,0,94,G#,Major,73,65,79,5,2,11,6,2022-10-31,2022-44
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,1254,6,263453310,26,69,73,2,6,158,C#,Major,65,72,95,31,0,92,5,2022-11-03,2022-44
Die For You,Joji,1,1703,0,246390068,38,45,36,16,0,148,G#,Major,47,15,52,38,13,29,5,2022-11-04,2022-44
Antidepresan,"Mabel Matiz, Mert Demir",2,313,2,136689549,10,6,7,1,9,100,B,Minor,70,92,59,3,0,10,3,2022-11-04,2022-44
SPIT IN MY FACE!,ThxSoMch,1,573,0,301869854,1,0,18,0,24,166,C#,Major,70,57,57,9,20,11,7,2022-10-31,2022-44
Major Distribution,"Drake, 21 Savage",2,1545,0,154863153,22,7,15,0,0,131,G#,Minor,91,23,55,1,0,7,32,2022-11-04,2022-44
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,1930,0,191333656,24,8,17,0,1,122,E,Minor,75,45,63,6,0,35,12,2022-11-04,2022-44
On BS,"Drake, 21 Savage",2,1338,0,170413877,9,20,7,0,0,158,A,Major,84,33,36,2,0,39,59,2022-11-04,2022-44
Circo Loco,"Drake, 21 Savage",2,1794,0,141720999,26,9,17,0,3,104,C#,Major,73,25,61,1,0,32,7,2022-11-04,2022-44
Spin Bout U,"Drake, 21 Savage",2,1652,2,198365537,26,52,10,0,95,130,G,Major,77,20,70,1,0,16,5,2022-11-04,2022-44
Con La Brisa,"Ludwig Goransson, Foudeqush",2,486,0,71095708,8,1,7,0,0,114,D,Minor,62,25,44,51,33,14,3,2022-11-04,2022-44
Privileged Rappers,"Drake, 21 Savage",2,1007,0,112436403,6,5,3,0,0,144,F,Major,93,62,61,0,0,12,20,2022-11-04,2022-44
BackOutsideBoyz,Drake,1,1045,0,93367537,8,5,2,0,0,142,F,Minor,85,40,43,4,0,39,32,2022-11-04,2022-44
Broke Boys,"Drake, 21 Savage",2,1060,0,106249219,3,8,5,0,0,120,D,Major,64,11,53,1,0,25,27,2022-11-04,2022-44
My Mind & Me,Selena Gomez,1,953,0,91473363,61,13,37,1,0,144,A,Major,60,24,39,57,0,8,3,2022-11-03,2022-44
A Veces (feat. Feid),"Feid, Paulo Londra",2,573,0,73513683,2,0,7,0,0,92,C#,Major,80,81,67,4,0,8,6,2022-11-03,2022-44
Alone,Burna Boy,1,782,2,96007391,27,18,32,1,0,90,E,Minor,61,32,67,15,0,11,5,2022-11-04,2022-44
