track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Kill Bill,SZA,1,8109,77,1163093654,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,2022-12-08,2022-49
Snooze,SZA,1,2839,25,399686758,58,156,42,1,236,143,F,Major,56,39,55,14,0,11,13,2022-12-09,2022-49
Que Vuelvas,"Carin Leon, Grupo Frontera",2,763,26,2762,21,110,21,9,71,162,A#,Major,49,78,64,19,0,11,4,2022-12-09,2022-49
Le�,Mar��lia Mendo,1,993,4,267789608,30,84,88,1,28,130,F#,Major,74,79,87,45,0,30,3,2022-12-09,2022-49
Low,SZA,1,1911,0,272377463,23,71,14,0,9,145,,Minor,70,34,55,43,0,16,6,2022-12-09,2022-49
Nobody Gets Me,SZA,1,2536,6,284908316,59,100,58,13,2,100,G,Major,36,28,28,81,0,18,3,2022-12-09,2022-49
Zona De Perigo,Leo Santana,1,531,4,134294498,20,1,71,2,0,135,F,Major,81,97,77,75,0,35,3,2022-12-08,2022-49
Blind,SZA,1,1484,0,163284000,22,51,12,0,0,114,A,Minor,46,60,28,91,0,21,4,2022-12-09,2022-49
Seek & Destroy,SZA,1,1007,0,98709329,5,31,1,0,0,152,C#,Major,65,35,65,44,18,21,7,2022-12-09,2022-49
Love Language,SZA,1,1127,0,110849052,16,63,8,0,0,65,A,Minor,71,55,26,85,0,13,8,2022-12-09,2022-49
Used (feat. Don Toliver),"SZA, Don Toliver",2,1042,0,94005786,7,29,3,0,0,150,A#,Minor,73,71,69,53,0,32,9,2022-12-08,2022-49
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,1634,0,110073250,16,20,4,0,0,125,F#,Major,62,59,43,84,3,11,5,2022-12-09,2022-49
Special,SZA,1,906,0,88092256,6,21,3,0,0,76,,Major,60,19,20,78,0,11,5,2022-12-09,2022-49
SOS,SZA,1,827,0,73981293,6,18,1,0,0,119,G,Minor,51,51,66,67,0,9,23,2022-12-09,2022-49
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,1420,4,155653938,13,87,17,0,46,78,A,Major,67,22,59,76,1,15,16,2022-12-08,2022-49
Gone Girl,SZA,1,892,0,65362788,3,17,2,0,0,150,F,Major,43,42,44,57,0,15,6,2022-12-09,2022-49
F2F,SZA,1,989,0,67540165,5,9,1,0,0,90,D,Major,53,47,74,9,0,34,4,2022-12-09,2022-49
Notice Me,SZA,1,819,0,62019074,14,22,0,0,0,160,F,Major,72,78,68,28,0,11,12,2022-12-09,2022-49
Smoking on my Ex Pack,SZA,1,811,0,57144458,6,11,3,0,0,81,G#,Major,47,33,68,24,0,22,38,2022-12-09,2022-49
Conceited,SZA,1,899,0,56870689,2,14,2,0,0,150,C#,Major,79,77,46,5,0,11,7,2022-12-09,2022-49
Too Late,SZA,1,714,0,49262961,0,9,2,0,0,128,B,Major,45,35,68,78,0,39,8,2022-12-08,2022-49
Far,SZA,1,680,0,51641685,2,15,1,0,0,116,D,Major,61,48,55,67,0,16,8,2022-12-09,2022-49
