track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
traitor,"Juan Cruz Toledo, Huilen Toledo",2,5257,6,1230855859,85,43,134,0,,176,D#,Major,29,12,33,68,0,12,5,2021-05-21,2021-20
Butter,BTS,1,4779,6,1143647827,180,135,223,0,5,110,G#,Major,79,70,36,0,0,6,11,2021-05-21,2021-20
happier,Olivia Rodrigo,1,3069,4,850608354,25,46,105,0,45,169,F#,Major,39,36,45,81,0,8,13,2021-05-21,2021-20
favorite crime,Olivia Rodrigo,1,3681,0,783706581,20,21,99,0,7,173,A,Major,40,19,29,86,0,34,4,2021-05-21,2021-20
"jealousy, jealousy",Olivia Rodrigo,1,3257,0,665765558,10,0,70,0,0,164,A#,Minor,70,71,58,24,0,7,13,2021-05-21,2021-20
