track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,332,26,86444842,11,163,10,4,0,140,F,Minor,65,87,74,22,0,42,4,2023-06-22,2023-25
SABOR FRESA,Fuerza Regida,1,250,26,78300654,16,149,10,5,168,130,G,Minor,79,96,86,9,0,9,9,2023-06-22,2023-25
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,1117,80,65156199,82,145,65,16,"1,133",144,,Major,77,75,58,52,0,23,25,2023-06-23,2023-25
BABY HELLO,"Rauw Alejandro, Bizarrap",2,1004,35,54266102,42,80,58,3,169,130,C#,Minor,77,84,89,17,0,43,5,2023-06-23,2023-25
CORAZ��N VA,Maria Becerra,1,370,20,43857627,12,16,18,4,93,98,C#,Major,68,40,79,33,0,30,6,2023-06-22,2023-25
Novidade na ��,"Mc Livinho, DJ Matt D",2,267,9,39709092,9,6,25,2,72,130,F,Major,63,36,34,76,0,35,9,2023-06-23,2023-25
LAGUNAS,"Jasiel Nu��ez, Peso P",2,58,18,39058561,2,106,4,2,184,116,B,Major,77,79,62,33,1,15,3,2023-06-22,2023-25
LUNA,"Junior H, Peso Pluma",2,201,11,55842345,19,117,8,1,74,128,A,Minor,75,79,63,33,0,15,4,2023-06-22,2023-25
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,871,32,66902503,25,59,32,5,88,128,B,Major,78,59,65,10,0,26,5,2023-06-21,2023-25
