track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Under The Influence,Chris Brown,1,3859,26,929964809,133,181,3,0,,117,A,Minor,73,31,69,6,0,11,4,2019-10-04,2019-39
Formula,Labrinth,1,3444,7,554875730,24,85,102,0,1,145,B,Major,57,23,66,4,6,15,4,2019-10-04,2019-39
Still Don't Know My Name,Labrinth,1,6332,0,563902868,47,116,266,0,0,88,F,Major,31,31,63,47,27,21,12,2019-10-04,2019-39
When I R.I.P.,Labrinth,1,2578,0,203680270,8,67,66,0,0,80,G#,Minor,39,45,55,73,0,9,21,2019-10-04,2019-39
Forever,Labrinth,1,3618,0,282883169,21,86,138,0,2,80,E,Minor,56,19,46,92,72,11,3,2019-10-04,2019-39
