track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Obsessed,"Abhijay Sharma, Riar Saab",2,161,6,71007139,10,79,2,0,42,135,F,Minor,80,85,74,62,0,8,9,2022-09-29,2022-39
Besos Moja2,"Wisin & Yandel, ROSAL�",2,2460,13,309483971,53,7,56,3,1,94,F,Minor,74,64,73,6,0,10,6,2022-09-29,2022-39
WORTH NOTHING,"Twisted, Oliver Tree",2,1612,0,213438580,34,54,34,0,2,140,D,Minor,58,17,62,18,0,20,8,2022-09-28,2022-39
Tubar��o Te,"Dj LK da Esc��cia, Tchakabum, mc jhenny, M",4,1003,0,116144341,21,0,44,0,0,130,E,Minor,89,48,74,30,0,7,36,2022-09-28,2022-39
Celestial,Ed Sheeran,1,1639,0,176474912,86,14,80,0,37,123,D,Major,57,50,85,5,0,16,4,2022-09-29,2022-39
