track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
No Se Va,Grupo Frontera,1,924,18,404887295,17,80,22,9,38,173,,Major,59,69,53,12,0,23,3,2022-04-28,2022-17
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,5491,14,556585270,128,84,75,0,35,83,C#,Major,46,34,64,31,0,7,34,2022-04-27,2022-17
That That (prod. & feat. SUGA of BTS),"PSY, Suga",2,802,0,212109195,16,81,23,0,0,130,E,Major,91,91,96,3,0,3,9,2022-04-29,2022-17
In The Stars,Benson Boone,1,2224,8,382199619,48,40,87,1,210,78,A#,Major,36,30,54,34,0,14,5,2022-04-29,2022-17
PUFFIN ON ZOOTIEZ,Future,1,2350,0,254218729,28,42,23,0,0,125,G#,Major,88,28,66,6,0,13,31,2022-04-29,2022-17
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",2,928,0,164163229,19,0,7,0,0,96,,Major,61,32,90,25,0,10,9,2022-04-25,2022-17
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2,1351,0,106919680,26,1,17,0,0,150,G#,Minor,82,82,66,13,0,11,6,2022-04-29,2022-17
With you,"HA SUNG WOON, Jimin",2,343,2,240580042,4,35,11,1,1,150,D#,Major,53,14,43,64,0,13,3,2022-04-24,2022-17
