track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,3107,39,720434240,38,0,4,0,0,101,D,Major,88,72,59,62,0,9,3,2022-06-24,2022-25
BREAK MY SOUL,Beyonc�,1,9724,0,354614964,222,61,259,14,2,115,C#,Minor,70,87,88,4,0,26,8,2022-06-21,2022-25
POP!,Nayeon,1,571,0,213505179,19,21,14,0,2,97,D,Major,80,36,86,4,0,3,5,2022-06-24,2022-25
die first,Nessa Barrett,1,767,0,131746175,25,0,22,0,0,183,G#,Minor,44,44,67,7,0,12,13,2022-06-24,2022-25
Poland,Lil Yachty,1,1584,0,115331792,38,0,24,0,0,150,F,Minor,70,26,56,14,83,11,5,2022-06-23,2022-25
