track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
���abcdefu,Gayle,1,7215,0,1007612429,170,12,575,18,,122,E,Major,70,42,54,30,0,37,5,2021-08-13,2021-32
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,6890,0,427486004,122,11,201,0,1,124,G#,Minor,79,79,84,2,0,5,5,2021-08-13,2021-32
Every Summertime,NIKI,1,1211,2,290228626,30,2,5,0,6,79,F#,Major,63,76,67,38,0,6,4,2021-08-10,2021-32
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tav��rez, Sech, Dalex, Dimelo Flow, Rich Music",8,1560,0,223319934,72,0,0,0,0,84,G,Minor,56,61,76,10,0,14,11,2021-08-12,2021-32
Flowers,Lauren Spencer Smith,1,801,0,184826429,42,9,24,1,1,138,D#,Major,70,31,44,84,0,9,39,2021-08-09,2021-32
