track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Miss You,"Robin Schulz, Oliver Tree",2,5730,10,497225336,108,16,197,3,165,145,F#,Minor,59,20,74,1,0,15,5,2022-08-05,2022-31
Hype Boy,NewJeans,1,892,17,363472647,20,119,12,2,7,100,E,Minor,59,78,94,27,0,29,23,2022-08-01,2022-31
How Do I Say Goodbye,Dean Lewis,1,2163,15,284785823,72,97,58,0,154,82,G#,Major,40,39,64,21,0,7,7,2022-08-05,2022-31
c��mo dormi,Rels B,1,1452,35,331511413,16,15,20,0,0,126,C#,Major,63,56,43,24,0,12,23,2022-08-04,2022-31
Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",3,1456,0,219196651,53,2,33,0,0,120,,Major,77,94,87,2,0,23,12,2022-08-05,2022-31
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2107,0,170732845,51,1,50,0,0,130,E,Minor,72,18,46,7,0,28,8,2022-08-05,2022-31
Si Te La Encuentras Por Ah�,Feid,1,1379,4,179061440,23,10,18,0,0,172,G#,Minor,74,46,58,15,0,13,8,2022-08-05,2022-31
Attention,NewJeans,1,799,12,264717480,14,141,9,0,1,105,A#,Minor,81,70,65,24,0,8,4,2022-08-01,2022-31
