track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Sacrifice,The Weeknd,1,4440,0,326792833,81,77,133,0,,122,G,Major,70,91,79,3,0,7,10,2022-01-07,2022-01
Is There Someone Else?,The Weeknd,1,2881,6,391251368,13,89,34,0,3,135,A,Minor,70,60,58,4,0,16,3,2022-01-07,2022-01
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,2235,0,349585590,65,7,70,16,6,109,F,Major,60,45,47,62,0,31,5,2022-01-05,2022-01
Out of Time,The Weeknd,1,3711,0,339659802,49,88,62,0,,93,,Minor,65,82,74,27,0,32,5,2022-01-07,2022-01
How Do I Make You Love Me?,The Weeknd,1,1915,0,119238316,7,47,15,0,0,121,G,Minor,80,62,51,2,0,9,8,2022-01-07,2022-01
Gasoline,The Weeknd,1,2297,0,116903579,11,29,14,0,0,123,F#,Minor,74,35,73,0,0,21,5,2022-01-07,2022-01
Less Than Zero,The Weeknd,1,2800,0,200660871,18,77,61,0,1,143,,Major,53,50,79,0,0,8,3,2022-01-07,2022-01
"Here We Go��� Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",3,1420,0,88103848,7,18,7,0,0,135,C#,Major,41,27,64,36,0,60,3,2022-01-07,2022-01
Best Friends,The Weeknd,1,1292,0,101114984,3,18,14,0,0,87,E,Minor,49,49,59,44,0,35,21,2022-01-07,2022-01
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,1178,0,91656026,9,10,9,0,0,110,D,Major,75,85,84,10,0,31,19,2022-01-07,2022-01
Dawn FM,The Weeknd,1,811,0,53933526,1,8,6,0,0,78,A,Minor,27,10,49,62,0,49,5,2022-01-07,2022-01
Starry Eyes,The Weeknd,1,1014,0,74601456,1,17,11,0,0,86,A,Minor,28,13,41,50,0,19,3,2022-01-07,2022-01
Don���t Break My,The Weeknd,1,1184,0,63803529,1,5,6,0,0,122,A#,Major,77,25,62,34,0,23,3,2022-01-07,2022-01
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,759,3,236940480,32,0,12,0,0,170,F,Minor,70,61,44,40,0,37,4,2022-01-05,2022-01
A Tale By Quincy,The Weeknd,1,733,0,41924466,0,2,2,0,0,94,F,Minor,46,55,50,71,0,10,11,2022-01-07,2022-01
Every Angel is Terrifying,The Weeknd,1,715,0,37307967,0,1,2,0,0,118,,Major,44,52,94,11,0,4,29,2022-01-07,2022-01
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,3517,0,311395144,54,28,43,0,0,78,C#,Minor,77,49,42,1,1,13,19,2022-01-07,2022-01
Phantom Regret by Jim,The Weeknd,1,768,0,31959571,1,1,3,0,0,108,A,Minor,46,23,48,75,30,14,4,2022-01-07,2022-01
thought i was playing,"21 Savage, Gunna",2,807,0,60680939,3,0,5,0,0,148,C#,Major,68,29,73,0,0,7,7,2022-01-07,2022-01
Miserable Man,David Kushner,1,788,0,124407432,13,0,32,1,0,110,A#,Major,63,31,35,93,0,29,3,2022-01-07,2022-01
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,620,0,54937991,17,3,3,0,0,115,F,Minor,90,74,54,16,0,13,28,2022-01-07,2022-01
