track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Calm Down,R��,1,4013,10,445763624,107,44,750,22,,107,B,Major,81,82,78,38,0,12,4,2022-02-09,2022-06
MAMIII,"Karol G, Becky G",2,6809,28,716591492,151,102,175,5,29,94,E,Minor,84,90,70,9,0,14,8,2022-02-10,2022-06
Stay Alive (Prod. SUGA of BTS),Jung Kook,1,590,5,246376690,4,113,20,0,1,130,D,Minor,51,50,76,30,0,10,7,2022-02-11,2022-06
Boyfriend,Dove Cameron,1,3766,0,496311364,76,0,102,0,2,180,G,Minor,35,23,61,23,0,19,6,2022-02-11,2022-06
The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",2,1430,0,146789379,46,1,34,0,0,134,,Major,53,31,31,92,0,28,3,2022-02-11,2022-06
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",3,2096,0,107255472,34,3,30,0,0,147,G#,Minor,47,50,80,10,0,32,38,2022-02-11,2022-06
Bussin,"Nicki Minaj, Lil Baby",2,847,0,64714573,25,0,14,0,0,140,B,Major,89,75,70,6,0,13,5,2022-02-11,2022-06
Worst Day,Future,1,910,0,50746620,20,3,24,0,0,89,C#,Major,65,60,60,11,0,10,40,2022-02-11,2022-06
Pasoori,"Shae Gill, Ali Sethi",2,349,6,284249832,10,22,3,0,0,92,B,Minor,71,67,60,7,0,6,4,2022-02-06,2022-06
Ojos Marrones,Lasso,1,795,11,263280370,26,18,15,1,4,120,G#,Minor,81,72,65,4,0,14,4,2022-02-06,2022-06
