track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054,65,48,138,1,102,122,F,Major,67,49,64,10,0,10,3,2020-11-27
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557,106,112,142,4,215,130,,Minor,61,53,58,55,0,27,4,2020-07-24
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762,386,144,707,28,,81,B,Major,76,53,53,44,0,9,9,2020-06-28
Still With You,Jung Kook,1,2020,6,5,31,39,38411956,2,107,8,0,0,88,C#,Minor,53,34,47,9,0,83,4,2020-06-05
august,Taylor Swift,1,2020,7,24,7324,22,607123776,25,81,61,1,44,90,F,Major,51,42,61,53,0,9,3,2020-07-24
Save Your Tears,The Weeknd,1,2020,3,20,12688,13,1591223784,197,115,112,0,200,118,,Major,68,61,82,2,0,50,3,2020-03-20
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,14,405136812,1,50,19,0,19,139,A,Minor,48,37,41,32,0,10,10,2020-02-10
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,3,20,9161,5,1221813483,240,98,468,3,10,118,,Major,65,63,79,3,0,10,3,2020-03-20
After Hours,The Weeknd,1,2020,2,19,8084,6,698086140,45,115,218,1,221,109,F,Minor,66,16,57,10,1,12,3,2020-02-19
���������������������,Fujii Kaze,1,2020,5,20,685,14,403097450,24,94,9,0,23,158,F#,Minor,60,52,76,17,0,19,5,2020-05-20
Heather,Conan Gray,1,2020,3,20,6170,7,1301799902,82,1,231,0,2,92,F,Major,47,25,43,62,0,32,3,2020-03-20
MIDDLE OF THE NIGHT,Elley Duh�,1,2020,1,10,4057,8,872137015,78,21,240,1,52,186,E,Minor,41,9,61,2,0,12,5,2020-01-10
Bad Habits,Ed Sheeran,1,2020,9,3,12755,8,1555511105,344,97,945,15,,126,B,Minor,81,59,90,5,0,36,3,2020-09-03
Good Days,SZA,1,2020,12,24,10426,2,826623384,133,109,182,1,10,121,C#,Minor,46,53,78,23,0,72,6,2020-12-24
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,3,27,15894,8,1802514301,198,13,544,0,60,103,F#,Minor,70,92,83,1,0,7,6,2020-03-27
MONTERO (Call Me By Your Name),Lil Nas X,1,2020,9,18,12329,0,1735441776,275,19,738,0,,179,G#,Minor,61,76,51,30,0,38,15,2020-09-18
Mon Amour - Remix,"Aitana, zzoilo",2,2020,9,21,3221,2,578207856,67,13,139,0,40,116,D,Major,75,36,76,12,0,10,10,2020-09-21
Todo De Ti,Rauw Alejandro,1,2020,11,2,11975,8,1168642797,188,75,268,6,16,128,D#,Minor,81,57,63,40,1,10,4,2020-11-02
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,13,6734,0,530511203,47,14,90,0,1,95,D,Major,77,40,47,2,0,9,3,2020-03-13
Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,30,11215,21,1763363713,189,166,525,9,25,110,E,Minor,73,14,57,40,0,11,5,2020-10-30
Life Goes On,Oliver Tree,1,2020,7,17,2868,0,501541661,43,15,116,0,,80,,Major,70,57,49,19,0,12,8,2020-07-17
Dynamite,BTS,1,2020,8,21,8528,5,1692897992,239,163,583,0,,114,F#,Minor,75,74,77,1,0,9,10,2020-08-21
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2,2020,7,24,12854,0,1699402402,237,27,636,0,,91,G,Minor,70,76,72,22,0,27,4,2020-07-24
Sky,Playboi Carti,1,2020,12,25,3297,3,506778838,25,3,52,0,1,140,D,Major,79,56,91,26,0,13,21,2020-12-25
The Business,Ti��,1,2020,1,1,14311,0,1062345656,255,32,582,0,14,120,G#,Minor,80,24,62,41,2,11,23,2020-01-01
positions,Ariana Grande,1,2020,10,23,8207,0,1252563873,175,55,95,0,2,144,,Major,73,66,80,44,0,9,12,2020-10-23
HEARTBREAK ANNIVERSARY,Giveon,1,2020,2,21,5398,4,951637566,111,127,210,0,37,129,,Major,61,59,46,56,0,13,5,2020-02-21
you broke me first,Tate McRae,1,2020,4,17,6638,0,1180094974,167,19,318,0,1,124,E,Major,64,8,37,79,0,9,5,2020-04-17
Excuses,"Intense, AP Dhillon, Gurinder Gill",3,2020,7,24,272,4,327498031,7,21,2,0,0,95,F,Minor,84,49,72,8,0,15,8,2020-07-24
Contection,"GODZZ__-, Zakaria",2,2020,1,16,6955,0,1180896317,65,45,398,0,1,166,A#,Minor,81,83,75,14,0,29,34,2020-01-16
A Tu Merced,Bad Bunny,1,2020,2,29,4214,11,685071800,21,20,40,0,0,92,,Major,86,89,79,17,0,11,6,2020-02-29
La Santa,"Daddy Yankee, Bad Bunny",2,2020,2,29,4890,20,759208783,52,42,100,0,0,93,C#,Major,74,59,87,3,0,8,5,2020-02-29
La Zona,Bad Bunny,1,2020,2,29,1188,0,312622938,13,1,15,0,1,94,C#,Minor,76,81,80,20,0,25,4,2020-02-29
