track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Here With Me,d4vd,1,3246,23,635412045,94,85,68,1,84,132,E,Major,58,27,48,50,0,12,3,2022-07-17,2022-29
Romantic Homicide,d4vd,1,2335,23,681583126,82,55,50,0,9,132,F#,Major,56,20,55,45,1,32,3,2022-07-20,2022-29
TV,Billie Eilish,1,3009,2,338564981,68,89,65,0,25,141,E,Minor,41,9,25,84,1,14,4,2022-07-21,2022-29
Doja,Central Cee,1,4169,44,482257456,57,44,183,1,11,140,F#,Major,91,97,57,38,0,40,29,2022-07-20,2022-29
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",3,292,6,366599607,26,98,4,0,0,94,,Major,58,44,57,57,0,10,3,2022-07-17,2022-29
GIVENCHY,Duki,1,625,4,185236961,13,18,12,0,0,103,G#,Major,61,38,62,14,0,23,40,2022-07-20,2022-29
El Rescate,"Grupo Marca Registrada, Junior H",2,527,4,287278853,10,43,3,1,0,99,G,Minor,79,64,59,28,0,11,14,2022-07-22,2022-29
Sin Se��,"Ovy On The Drums, Quevedo",2,1097,2,209106362,18,10,13,1,1,118,B,Minor,82,75,85,33,1,11,4,2022-07-22,2022-29
