track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Anti-Hero,Taylor Swift,1,9082,56,999748277,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,2022-10-21,2022-42
Karma,Taylor Swift,1,3818,23,404562836,37,55,32,0,272,90,G#,Major,64,10,62,7,0,48,7,2022-10-21,2022-42
Lavender Haze,Taylor Swift,1,3763,8,488386797,51,43,38,10,1,97,A#,Major,73,10,44,26,0,16,8,2022-10-21,2022-42
Just Wanna Rock,Lil Uzi Vert,1,3995,13,457184829,72,27,47,0,0,150,B,Major,49,4,55,7,0,6,3,2022-10-17,2022-42
Made You Look,Meghan Trainor,1,3956,6,502574952,142,23,127,3,16,145,A#,Major,84,88,53,35,0,8,7,2022-10-21,2022-42
Midnight Rain,Taylor Swift,1,2612,4,433356509,19,29,21,0,0,140,,Major,64,18,37,72,0,12,7,2022-10-21,2022-42
Monoton�,"Ozuna, Shakira",2,3645,15,380726517,118,34,150,4,19,132,,Minor,87,82,70,42,0,21,5,2022-10-19,2022-42
Qu�� Ago,"Yuridia, Angela Aguilar",2,660,15,236857112,19,59,18,5,52,98,B,Major,73,88,57,56,0,5,2,2022-10-20,2022-42
ANTIFRAGILE,LE SSERAFIM,1,761,12,301051721,23,95,11,0,3,105,A#,Minor,88,82,80,8,0,11,8,2022-10-17,2022-42
"You're On Your Own, Kid",Taylor Swift,1,2537,2,348647203,8,18,20,0,1,120,D,Major,69,40,39,41,0,13,6,2022-10-21,2022-42
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2415,0,323437194,33,57,30,0,11,110,A,Major,66,19,32,69,0,12,4,2022-10-21,2022-42
Maroon,Taylor Swift,1,2304,0,317726339,12,16,14,0,0,108,G,Major,64,4,40,6,0,10,6,2022-10-21,2022-42
Bejeweled,Taylor Swift,1,2699,0,328207708,39,35,22,2,0,164,G,Major,70,39,56,6,0,9,7,2022-10-21,2022-42
Nxde,(G)I-DLE,1,430,6,170709584,14,116,9,0,11,136,E,Minor,73,65,91,4,0,48,18,2022-10-17,2022-42
Vigilante Shit,Taylor Swift,1,1948,0,253650850,12,9,16,0,0,80,E,Minor,80,16,28,17,0,12,39,2022-10-21,2022-42
Question...?,Taylor Swift,1,1608,0,223064273,10,3,12,0,0,109,G,Major,75,11,50,20,0,30,17,2022-10-21,2022-42
Mastermind,Taylor Swift,1,1936,0,218320587,7,5,13,0,0,126,E,Major,66,12,35,55,0,9,14,2022-10-21,2022-42
Labyrinth,Taylor Swift,1,1597,0,187339835,6,3,15,0,0,110,,Major,48,15,31,80,22,12,4,2022-10-21,2022-42
Sweet Nothing,Taylor Swift,1,1747,0,186104310,9,6,13,0,2,177,,Major,34,39,16,97,0,12,5,2022-10-21,2022-42
"Would've, Could've, Should've",Taylor Swift,1,1715,0,177503916,4,5,8,0,0,158,G,Major,48,55,84,43,0,15,12,2022-10-21,2022-42
The Great War,Taylor Swift,1,1274,0,181382590,1,6,11,0,0,96,F,Major,57,55,74,22,0,8,4,2022-10-21,2022-42
Bigger Than The Whole Sky,Taylor Swift,1,1180,0,121871870,4,0,8,0,0,166,F#,Major,42,7,24,83,1,12,6,2022-10-21,2022-42
En La De Ella,"Feid, Sech, Jhayco",3,1320,0,133895612,29,26,17,0,0,97,C#,Major,82,67,77,8,0,12,5,2022-10-20,2022-42
