track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,6036,88,843957510,113,149,245,23,27,98,C#,Minor,71,17,61,36,0,8,5,2022-12-02,2022-48
People,Libianca,1,3506,56,373199958,105,64,169,8,529,198,A#,Minor,59,71,42,55,0,10,7,2022-12-02,2022-48
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2110,58,286400165,17,119,19,2,266,88,G,Minor,68,17,71,15,0,11,5,2022-12-02,2022-48
Tak Segampang Itu,Anggi Marito,1,213,6,179659294,7,6,0,0,48,130,F,Major,51,18,44,76,0,11,3,2022-12-02,2022-48
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,1682,46,276259178,24,90,30,1,176,119,C#,Minor,75,48,53,18,0,18,34,2022-12-02,2022-48
La Jumpa,"Arcangel, Bad Bunny",2,3794,34,538115192,47,77,53,10,8,123,G#,Major,71,58,70,30,0,32,19,2022-11-30,2022-48
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2959,16,401036314,41,69,38,0,36,117,F,Minor,72,45,59,14,0,20,21,2022-12-02,2022-48
CHORRITO PA LAS ANIMAS,Feid,1,2321,36,345031710,29,65,34,5,3,96,G#,Minor,74,61,83,11,0,35,6,2022-12-02,2022-48
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,536,10,288101651,10,72,8,3,14,149,G#,Major,66,85,60,40,0,14,13,2022-12-01,2022-48
Players,Coi Leray,1,4096,6,335074782,118,48,143,0,240,105,F#,Major,95,62,52,3,0,5,16,2022-11-30,2022-48
One Thing At A Time,Morgan Wallen,1,811,4,148469433,11,58,5,0,21,142,G,Major,61,92,91,0,0,26,3,2022-12-02,2022-48
Boy's a liar,PinkPantheress,1,1225,0,156338624,27,0,28,13,0,133,F,Major,66,74,84,25,0,21,4,2022-11-30,2022-48
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,1602,0,195516622,12,22,12,0,2,88,G,Minor,49,24,66,19,0,18,29,2022-12-02,2022-48
Wild Flower (with youjeen),RM,1,353,2,135611421,2,74,14,0,2,155,G#,Major,49,42,77,3,0,12,9,2022-12-02,2022-48
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,880,0,110649992,3,7,10,0,0,112,G#,Major,80,15,54,9,0,38,5,2022-12-02,2022-48
On Time (with John Legend),"John Legend, Metro Boomin",2,398,0,78139948,2,2,6,0,2,80,F,Minor,33,51,59,76,0,44,6,2022-12-02,2022-48
