track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Cupid - Twin Ver.,Fifty Fifty,1,2942,77,496795686,91,212,78,6,0,120,B,Minor,78,76,59,43,0,34,3,2023-02-24,2023-08
TQG,"Karol G, Shakira",2,4284,49,618990393,115,123,184,18,354,180,E,Minor,72,61,63,67,0,9,28,2023-02-23,2023-08
Die For You - Remix,"Ariana Grande, The Weeknd",2,3408,47,518745108,87,86,74,1,16,67,C#,Minor,53,50,53,23,0,44,7,2023-02-24,2023-08
AMARGURA,Karol G,1,1133,39,153372011,14,71,23,10,176,107,F#,Minor,92,55,70,18,0,15,7,2023-02-24,2023-08
Moonlight,Kali Uchis,1,2649,42,256483385,67,79,57,1,615,137,G,Minor,64,88,72,51,0,17,5,2023-02-24,2023-08
Tattoo,Loreen,1,2988,59,201660859,74,102,145,18,925,150,D#,Minor,55,30,78,24,0,12,8,2023-02-25,2023-08
MIENTRAS ME CURO DEL CORA,Karol G,1,1020,35,206399629,15,26,30,6,0,80,,Major,52,57,48,86,0,15,39,2023-02-24,2023-08
Cupid,Fifty Fifty,1,526,10,139681964,15,93,30,0,320,120,D,Major,77,94,66,65,0,38,3,2023-02-24,2023-08
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,1529,0,149778242,32,18,39,2,0,95,,Major,64,30,77,46,0,38,6,2023-02-24,2023-08
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,1190,0,105062254,29,3,18,0,19,137,C#,Minor,84,44,67,8,0,11,6,2023-02-23,2023-08
PERO T�,"Karol G, Quevedo",2,387,11,93438910,11,15,14,3,1,140,F#,Major,86,68,79,39,0,11,29,2023-02-23,2023-08
