track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Fr��gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,672,34,188933502,19,108,24,9,212,150,F#,Major,61,39,73,37,0,11,3,2023-04-07,2023-14
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,4277,66,177740666,145,111,213,11,810,128,G,Major,60,23,91,0,0,12,3,2023-04-06,2023-14
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,561,14,142095275,4,14,12,5,56,192,B,Major,50,85,52,11,0,28,6,2023-04-04,2023-14
Las Morras,"BLESSD, Peso Pluma",2,291,8,127026613,8,78,4,1,1,133,A,Minor,78,90,84,31,0,7,4,2023-04-04,2023-14
Search & Rescue,Drake,1,2066,6,175097833,58,70,43,0,182,142,A#,Minor,82,54,44,6,0,33,7,2023-04-07,2023-14
Never Felt So Alone,Labrinth,1,1730,3,117747907,46,5,51,0,20,98,F,Major,44,36,41,50,0,38,5,2023-04-07,2023-14
People Pt.2 (feat. IU),"IU, Agust D",2,209,4,95816024,4,45,11,2,24,89,G,Minor,73,44,57,39,0,32,6,2023-04-07,2023-14
Peaches (from The Super Mario Bros. Movie),Jack Black,1,34,0,68216992,0,0,0,0,0,92,A#,Minor,71,41,31,79,0,10,5,2023-04-07,2023-14
