track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Save Your Tears,The Weeknd,1,12688,13,1591223784,197,115,112,0,200,118,,Major,68,61,82,2,0,50,3,2020-03-20,2020-11
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,9161,5,1221813483,240,98,468,3,10,118,,Major,65,63,79,3,0,10,3,2020-03-20,2020-11
Heather,Conan Gray,1,6170,7,1301799902,82,1,231,0,2,92,F,Major,47,25,43,62,0,32,3,2020-03-20,2020-11
