track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Malas Decisiones,Kenia OS,1,542,2,156214700,23,2,21,0,0,110,G#,Minor,81,64,79,5,0,31,3,2022-10-26,2022-43
Shirt,SZA,1,3469,0,309653982,71,95,31,0,2,120,D#,Minor,82,55,45,15,3,9,10,2022-10-28,2022-43
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,3311,0,297328960,129,31,212,1,41,177,A,Major,25,17,30,90,0,13,3,2022-10-28,2022-43
The Astronaut,Jin,1,481,9,203436468,10,100,15,1,27,125,F,Major,54,22,76,0,0,14,3,2022-10-28,2022-43
