track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
CUFF IT,Beyonc�,1,7842,10,595900742,215,88,330,26,23,115,G,Major,78,64,69,4,0,7,14,2022-07-29,2022-30
DESPECH�,ROSAL�,1,7613,33,782369383,180,90,422,15,55,130,G,Major,92,78,62,18,0,6,10,2022-07-28,2022-30
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,3301,30,471819764,72,64,64,6,3,102,B,Minor,83,58,83,21,0,10,5,2022-07-25,2022-30
Lovezinho,Treyce,1,242,0,70069745,12,2,13,0,4,128,E,Minor,82,61,59,30,0,12,4,2022-07-28,2022-30
ALIEN SUPERSTAR,Beyonc�,1,2688,0,171788484,39,47,36,0,0,122,A#,Minor,55,46,64,0,0,17,10,2022-07-29,2022-30
