track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,15894,8,1802514301,198,13,544,0,60,103,F#,Minor,70,92,83,1,0,7,6,2020-03-27,2020-12
Levitating,Dua Lipa,1,9833,0,797196073,233,82,531,1,1,103,F#,Minor,69,90,88,5,0,29,8,2020-03-27,2020-12
