track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
I Ain't Worried,OneRepublic,1,8431,76,1085685420,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5,2022-05-13,2022-19
You Proof,Morgan Wallen,1,2128,9,367814306,37,88,9,0,14,120,A,Major,73,64,85,25,0,61,3,2022-05-13,2022-19
N95,Kendrick Lamar,1,5542,0,301242089,52,16,65,0,206,140,D#,Minor,81,39,66,38,0,12,14,2022-05-13,2022-19
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",3,4627,0,237351106,38,13,32,0,0,101,C#,Minor,78,40,74,36,0,17,27,2022-05-13,2022-19
United In Grief,Kendrick Lamar,1,2575,0,156898322,4,5,12,0,51,87,G#,Major,52,32,83,24,0,17,43,2022-05-13,2022-19
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2,3107,0,127309180,4,0,22,0,0,153,A#,Minor,55,50,78,19,0,11,35,2022-05-13,2022-19
Rich Spirit,Kendrick Lamar,1,3486,0,173702135,20,10,33,0,0,96,A#,Minor,85,41,43,39,0,12,21,2022-05-13,2022-19
Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",2,2942,0,271666301,42,28,43,0,0,125,,Major,50,39,78,4,0,11,33,2022-05-12,2022-19
Silent Hill,"Kendrick Lamar, Kodak Black",2,3028,0,123216717,22,0,23,0,0,140,C#,Minor,92,78,57,46,0,14,9,2022-05-13,2022-19
Count Me Out,Kendrick Lamar,1,2729,0,126191104,3,7,13,0,1,134,G,Major,78,51,43,69,0,14,9,2022-05-13,2022-19
We Cry Together,"Kendrick Lamar, Taylour Paige",2,1635,0,68895644,4,1,6,0,0,108,B,Major,65,52,69,31,0,8,36,2022-05-13,2022-19
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,2291,0,86176890,9,0,8,0,0,123,G#,Major,61,66,71,53,0,32,46,2022-05-13,2022-19
Worldwide Steppers,Kendrick Lamar,1,1480,0,61739839,1,0,5,0,0,72,A#,Minor,56,56,47,76,0,8,36,2022-05-13,2022-19
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2308,0,76831876,7,0,7,0,0,138,D#,Minor,57,71,82,19,0,15,29,2022-05-13,2022-19
Mr. Morale,"Kendrick Lamar, Tanna Leone",2,1860,0,58687425,1,0,3,0,0,174,A,Major,73,26,54,30,0,34,32,2022-05-13,2022-19
Rich - Interlude,Kendrick Lamar,1,1103,0,41210087,0,0,0,0,0,104,G,Major,44,74,42,88,0,9,9,2022-05-13,2022-19
SUPERMODEL,M��ne,1,2265,0,231657891,93,12,173,11,3,121,G,Major,64,80,88,0,0,12,6,2022-05-13,2022-19
Crown,Kendrick Lamar,1,1493,0,42485571,2,0,10,0,0,170,C#,Minor,37,14,24,80,0,11,4,2022-05-13,2022-19
Auntie Diaries,Kendrick Lamar,1,1545,0,37778188,1,0,4,0,0,78,G,Major,43,60,38,76,1,48,38,2022-05-13,2022-19
Mirror,Kendrick Lamar,1,1929,0,53603447,2,0,4,0,0,92,E,Minor,66,29,65,23,0,8,7,2022-05-13,2022-19
Savior - Interlude,Kendrick Lamar,1,1194,0,37091576,0,0,3,0,0,118,F,Minor,66,83,43,84,0,19,19,2022-05-13,2022-19
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2,1890,0,33381454,3,0,2,0,0,140,G#,Minor,49,50,37,87,0,11,35,2022-05-13,2022-19
The Heart Part 5,Kendrick Lamar,1,2939,0,71423324,29,0,30,0,0,98,G#,Minor,76,79,81,18,0,6,34,2022-05-08,2022-19
Tak Ingin Usai,Keisya Levronka,1,220,4,184807630,16,5,0,0,6,130,,Major,49,14,40,82,0,11,3,2022-05-13,2022-19
En El Radio Un Cochinero,Victor Cibrian,1,514,0,164856284,5,36,1,0,0,154,F#,Minor,70,97,62,47,0,10,4,2022-05-13,2022-19
Last Last,Burna Boy,1,4526,12,293466523,156,275,150,3,128,88,D#,Minor,80,55,56,13,0,8,9,2022-05-12,2022-19
