track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2175,23,144565150,69,145,69,2,478,143,D#,Major,83,69,44,15,0,10,33,2023-05-12,2023-19
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Be��",3,1094,34,90839753,40,58,47,8,203,127,B,Minor,82,89,85,4,0,23,6,2023-05-12,2023-19
Acr��s,Shakira,1,955,29,123124076,37,50,79,11,31,144,B,Major,75,35,48,84,0,10,12,2023-05-11,2023-19
Abcdario,"Junior H, Eden Mu��",2,262,5,89933133,8,60,4,1,109,129,G#,Major,70,42,43,78,0,11,3,2023-05-13,2023-19
Cart��o B,"MC Caverinha, KayBlack",2,269,4,71573339,7,2,30,1,11,108,A,Minor,84,55,47,26,0,20,64,2023-05-11,2023-19
