track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Woman,Doja Cat,1,9424,0,1329090101,202,50,463,4,,108,F,Minor,82,88,76,9,0,12,9,2021-06-25,2021-25
Desesperados,"Chencho Corleone, Rauw Alejandro",2,6821,34,809306935,83,58,128,7,0,90,C#,Minor,87,51,69,36,0,9,8,2021-06-25,2021-25
Pepas,Farruko,1,14114,17,1309887447,252,109,965,20,,130,G,Major,76,44,77,1,0,13,3,2021-06-24,2021-25
You Right,"Doja Cat, The Weeknd",2,5073,0,672656250,83,9,100,0,4,129,G#,Major,83,44,62,2,0,8,6,2021-06-24,2021-25
Get Into It (Yuh),Doja Cat,1,4999,0,516784627,43,19,73,12,0,92,G#,Minor,91,79,66,32,0,9,16,2021-06-25,2021-25
C��,Rauw Alejandro,1,2636,3,465959382,36,82,39,0,5,102,A,Minor,77,26,63,58,0,11,5,2021-06-25,2021-25
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,6556,0,528544703,93,5,67,1,0,172,F#,Minor,74,79,66,11,0,8,16,2021-06-24,2021-25
Ain't Shit,Doja Cat,1,3436,0,499710590,32,6,46,0,1,124,D#,Major,86,62,49,51,0,35,21,2021-06-25,2021-25
