track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Super,SEVENTEEN,1,271,12,91221625,16,103,9,0,55,137,G#,Major,77,35,88,16,0,17,9,2023-04-24,2023-17
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,351,9,76910644,16,90,10,0,64,110,B,Minor,76,26,70,1,0,41,6,2023-04-25,2023-17
Mami Chula,"Quevedo, Jhayco",2,875,4,61105704,17,13,27,0,43,120,G,Minor,80,33,70,22,0,9,4,2023-04-27,2023-17
