track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Yandel 150,"Yandel, Feid",2,3618,38,585695368,47,74,80,14,194,168,F#,Minor,78,58,73,5,0,10,7,2022-12-20,2022-51
Ditto,NewJeans,1,1154,22,397582059,28,125,11,1,51,134,F#,Minor,81,18,64,3,0,10,11,2022-12-19,2022-51
En Paris,"El Chachito, Junior H",2,406,5,198275403,3,31,2,1,0,139,D#,Minor,70,77,48,37,0,12,5,2022-12-24,2022-51
Gato de Noche,"Nengo Flow, Bad Bunny",2,2651,30,304118600,21,55,32,3,0,94,G#,Major,89,61,66,17,0,36,16,2022-12-22,2022-51
Sem Alian��a no ,"MC Xenon, Os Gemeos da Putaria",2,454,4,93587665,6,1,21,0,1,83,C#,Major,53,40,36,73,0,11,33,2022-12-23,2022-51
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,138,4,1365184,13,78,2,0,0,105,G,Major,82,62,74,10,0,33,7,2022-12-22,2022-51
