track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
ceilings,Lizzy McAlpine,1,3242,9,293186992,67,55,48,0,6,148,A,Major,51,27,33,48,0,22,3,2022-04-08,2022-14
Evergreen (You Didn���t Deserve Me A,Omar Apollo,1,2499,0,227918678,70,0,49,0,0,82,A,Major,70,31,34,60,1,11,4,2022-04-08,2022-14
First Class,Jack Harlow,1,8737,0,694525298,163,32,137,15,12,107,G#,Major,91,32,56,3,0,11,10,2022-04-08,2022-14
LOVE DIVE,IVE,1,753,8,305771063,28,124,13,0,1,118,C#,Minor,70,54,71,0,0,33,4,2022-04-05,2022-14
Chance,Paulo Londra,1,225,0,89566512,11,0,7,0,0,138,C#,Minor,72,22,46,24,0,9,6,2022-04-06,2022-14
psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,918,0,75476209,24,0,52,0,0,180,G,Minor,63,45,64,34,0,9,8,2022-04-07,2022-14
Right On,Lil Baby,1,1116,0,101780047,31,9,15,0,1,166,D,Major,70,22,61,2,0,10,34,2022-04-08,2022-14
That's Hilarious,Charlie Puth,1,686,2,146363130,11,6,12,0,15,108,F#,Major,71,55,44,74,0,11,6,2022-04-08,2022-14
Still Life,BIGBANG,1,181,0,53909146,16,14,7,0,0,118,G#,Major,68,24,58,44,0,6,3,2022-04-05,2022-14
