track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
El Merengue,"Marshmello, Manuel Turizo",2,2114,44,223633238,80,75,110,11,323,124,G#,Minor,78,70,68,3,1,11,4,2023-03-03,2023-09
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,967,5,138517666,7,29,51,1,29,154,F#,Major,63,75,92,31,0,91,5,2023-03-01,2023-09
Shorty Party,"Cartel De Santa, La Kelly",2,432,12,162887075,8,14,12,2,33,96,D,Major,93,47,47,33,0,10,36,2023-03-04,2023-09
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,1208,34,146409671,10,41,20,0,1,94,B,Major,82,53,67,34,0,9,8,2023-03-02,2023-09
on the street (with J. Cole),"j-hope, J. Cole",2,615,2,116599790,22,82,8,0,9,94,B,Minor,68,81,82,53,0,9,13,2023-03-03,2023-09
Ain���t Tha,Morgan Wallen,1,356,4,88791109,4,20,0,0,0,121,F#,Minor,64,67,80,0,0,36,3,2023-03-03,2023-09
Thinkin��� B,Morgan Wallen,1,604,6,125917280,22,101,0,0,66,140,D#,Minor,66,43,76,49,0,12,3,2023-03-03,2023-09
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,329,0,58890931,14,35,1,0,0,148,E,Major,50,49,76,12,0,12,3,2023-03-03,2023-09
Red Ruby Da Sleeze,Nicki Minaj,1,1168,0,81419389,45,11,20,0,21,98,C#,Major,70,29,73,12,0,11,26,2023-03-03,2023-09
���98 Braves,Morgan Wallen,1,282,0,56533272,6,15,0,0,0,142,D,Major,49,48,67,10,0,26,3,2023-03-03,2023-09
Born With A Beer In My Hand,Morgan Wallen,1,203,0,34450974,5,9,0,0,0,148,,Major,53,61,81,5,0,36,4,2023-03-03,2023-09
Devil Don���,Morgan Wallen,1,166,0,32526947,2,10,0,0,0,125,,Major,53,32,66,38,0,9,3,2023-03-03,2023-09
