track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Calm Down (with Selena Gomez),"R��ma, Selena G",2,7112,77,899183384,202,119,318,38,96,107,B,Major,80,82,80,43,0,14,4,2022-03-25,2022-12
Plan A,Paulo Londra,1,1105,0,240661097,32,0,19,0,0,174,,Major,58,56,83,5,0,7,4,2022-03-23,2022-12
X ��LTIMA,"Daddy Yankee, Bad Bunny",2,2697,1,349746291,55,3,32,0,0,90,G,Major,81,59,83,9,0,11,5,2022-03-25,2022-12
Soy El Unico,Yahritza Y Su Esencia,1,226,0,126443991,5,0,4,0,1,84,E,Minor,71,63,45,45,0,11,3,2022-03-25,2022-12
RUMBAT�,Daddy Yankee,1,1264,0,157990698,20,4,52,0,1,95,D#,Minor,69,90,91,6,0,35,4,2022-03-25,2022-12
10 Things I Hate About You,Leah Kate,1,1301,0,185550869,23,1,15,0,0,154,G#,Major,54,45,79,1,0,17,5,2022-03-23,2022-12
Layla,"Sch��rze, DJ R",2,832,3,130419412,18,124,24,1,0,140,F,Minor,44,41,92,0,0,44,7,2022-03-24,2022-12
