track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
We Don't Talk About Bruno,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",7,2785,0,432719968,95,89,44,0,,206,,Minor,58,83,45,36,0,11,8,2021-11-19,2021-46
Surface Pressure,Jessica Darrow,1,1756,0,267758538,38,48,20,0,0,180,D,Major,65,37,58,2,0,4,31,2021-11-19,2021-46
Oh My God,Adele,1,4431,0,466214729,105,7,199,0,0,88,C#,Major,53,55,73,9,0,3,5,2021-11-19,2021-46
I AM WOMAN,Emmy Meli,1,2795,0,225259194,45,0,107,0,0,170,A#,Major,65,46,47,12,0,13,16,2021-11-18,2021-46
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,1150,0,184937148,20,38,12,0,0,141,C#,Major,59,56,63,12,0,6,36,2021-11-19,2021-46
Dos Oruguitas,Sebastian Yatra,1,925,0,167076418,24,47,74,0,0,94,,Major,42,47,36,76,0,9,5,2021-11-19,2021-46
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,802,0,154797871,13,27,8,0,0,120,E,Major,72,54,71,26,0,10,4,2021-11-19,2021-46
DANCE CRIP,Trueno,1,731,0,198883004,14,14,24,0,4,106,,Major,86,86,79,11,0,8,9,2021-11-17,2021-46
S��,"Anuel Aa, Myke Towers, Jhay Cortez",3,903,0,177129919,30,26,15,0,0,90,F#,Minor,63,75,75,17,0,11,8,2021-11-18,2021-46
Down Under (feat. Colin Hay),"Luude, Colin Hay",2,3541,2,252871192,57,13,50,1,7,172,B,Minor,31,4,86,1,0,28,17,2021-11-19,2021-46
Hrs and Hrs,Muni Long,1,1800,0,181328253,43,36,46,13,4,140,G#,Minor,51,66,53,60,0,11,18,2021-11-19,2021-46
