track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,week
Feliz Cumplea��os Fe,Feid,1,3430,38,601863821,45,69,52,4,3,95,F,Major,87,57,55,10,0,29,7,2022-08-19,2022-33
Komang,Raim Laode,1,158,4,137123880,5,6,1,1,18,134,G,Major,70,35,41,41,0,10,3,2022-08-16,2022-33
Pink Venom,BLACKPINK,1,1963,16,551305895,57,119,77,1,13,90,,Major,80,71,69,2,0,27,10,2022-08-19,2022-33
Siempre Pendientes,"Peso Pluma, Luis R Conriquez",2,685,5,295152154,15,79,4,2,0,136,,Major,77,71,75,33,1,13,4,2022-08-15,2022-33
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,836,0,159240673,14,1,13,0,0,102,A,Major,84,43,75,5,0,6,8,2022-08-18,2022-33
