track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550,372,117,843,4,69,90,D,Major,76,91,50,54,0,7,5,2018-10-09
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814,440,125,"1,800",0,,110,C#,Major,50,45,41,75,0,11,3,2018-11-08
Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,19,1374581173,0,0,885,0,0,150,C#,Minor,65,51,55,73,0,14,3,2018-05-25
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705469769,30,70,142,0,27,114,A#,Major,32,17,74,14,0,17,3,2018-03-29
Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467,151,107,801,1,105,134,C#,Major,45,17,60,21,0,33,4,2018-03-29
Softcore,The Neighbourhood,1,2018,3,9,3947,12,599770206,33,102,93,0,30,94,D,Major,57,36,58,5,0,15,3,2018-03-09
Shallow,"Lady Gaga, Bradley Cooper",2,2018,9,27,16636,12,2159346687,368,155,"2,854",6,121,96,G,Major,57,30,40,38,0,26,3,2018-09-27
Hope,XXXTENTACION,1,2018,3,16,3659,0,1200808494,11,10,267,0,7,146,A,Minor,59,23,46,66,0,15,6,2018-03-16
SLOW DANCING IN THE DARK,Joji,1,2018,9,12,10211,0,1122364376,38,79,65,0,1,89,D#,Major,52,28,48,54,1,19,3,2018-09-12
we fell in love in october,girl in red,1,2018,11,21,6858,0,723043854,31,21,15,0,4,130,G,Major,57,24,37,11,18,16,3,2018-11-21
